GMGC_id;db;seq_id;gene;family
GMGC10.007_603_959.ILES;CARD;82.56;Bifidobacteria have an intrinsically resistant form of ileS (isoleucyl-tRNA synthetase) that confers resistance to mupirocin.;mupirocin
GMGC10.007_604_143.DDL;ResFinderFG;98.87;"D-alanine--D-alanine ligase A""|KX125120.1|human_gut|CYC";Glycopeptide/Cycloserine
GMGC10.007_604_708.ILES;CARD;82.74;Bifidobacteria have an intrinsically resistant form of ileS (isoleucyl-tRNA synthetase) that confers resistance to mupirocin.;mupirocin
GMGC10.007_612_267.ILES;CARD;88.28;Bifidobacteria have an intrinsically resistant form of ileS (isoleucyl-tRNA synthetase) that confers resistance to mupirocin.;mupirocin
GMGC10.007_613_115.AMPC;ARG-ANNOT;91.06;(Bla)blaCMY-74;blactamase
GMGC10.007_613_115.AMPC;CARD;91.16;CMY-100 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.;blactamase
GMGC10.007_613_115.AMPC;NCBI;91.16;class C beta-lactamase CMY-100;blactamase
GMGC10.007_613_115.AMPC;ResFinder;91.16;blaCMY-100;blactamase
GMGC10.007_613_115.AMPC;ResFinderFG;91.06;"Beta-lactamase""|KU605899.1|Preterm_infant_stool|CAZ";blactamase
GMGC10.007_614_900.ARNC;CARD;80.69;PmrF is required for the synthesis and transfer of 4-amino-4-deoxy-L-arabinose (Ara4N) to Lipid A which allows gram-negative bacteria to resist the antimicrobial activity of cationic antimicrobial peptides and antibiotics such as polymyxin. pmrF corresponds to 1 locus in Pseudomonas aeruginosa PAO1 and 1 locus in Pseudomonas aeruginosa LESB58.;peptide
GMGC10.007_615_177.ACRD;CARD;81.29;AcrD is an aminoglycoside efflux pump expressed in E. coli. Its expression can be induced by indole and is regulated by baeRS and cpxAR.;aminoside
GMGC10.007_615_374.EMRB;CARD;84.22;emrB is a translocase in the emrB -TolC efflux protein in E. coli. It recognizes substrates including carbonyl cyanide m-chlorophenylhydrazone (CCCP) nalidixic acid and thioloactomycin.;quinolone
GMGC10.007_615_899.MDTC;CARD;80.99;MdtC;Multidrug_efflux
GMGC10.007_615_958.YOJI;CARD;80.63;YojI mediates resistance to the peptide antibiotic microcin J25 when it is expressed from a multicopy vector. YojI is capable of pumping out microcin molecules.  The outer membrane protein TolC in addition to YojI is required for export of microcin J25 out of the cell. Microcin J25 is thus the first known substrate for YojI.;peptide
GMGC10.007_616_059.AMPH;ARG-ANNOT;80.83;(Bla)ampH_Ecoli;blactamase
GMGC10.007_616_059.AMPH;CARD;80.83;AmpH is a class C ampC-like beta-lactamase and penicillin-binding protein identified in Escherichia coli.;blactamase
GMGC10.007_616_061.DDL;ResFinderFG;83.29;"D-alanine--D-alanine ligase A""|KF628791.1|pediatric_fecal_sample|CYC";Glycopeptide/Cycloserine
GMGC10.007_616_099.ACRB;CARD;86.04;AcrB;Multidrug_efflux
GMGC10.007_616_158.MRDA;ARG-ANNOT;82.52;(Bla)Penicillin_Binding_Protein_Ecoli;blactam_non_enz
GMGC10.007_616_289.MSBA;CARD;84.16;MsbA is a multidrug resistance transporter homolog from E. coli and belongs to a superfamily of transporters that contain an adenosine triphosphate (ATP) binding cassette (ABC) which is also called a nucleotide-binding domain (NBD). MsbA is a member of the MDR-ABC transporter group by sequence homology. MsbA transports lipid A a major component of the bacterial outer cell membrane and is the only bacterial ABC transporter that is essential for cell viability.;nitroimidazole
GMGC10.007_657_999.ERMA;ARG-ANNOT;80.44;(MLS)erm(G);MLS
GMGC10.007_657_999.ERMA;CARD;80.03;ErmG is a rRNA adenine N-6-methyltransferase that protects the ribosome from inactivation due to antibiotic binding.;MLS
GMGC10.007_657_999.ERMA;NCBI;80.44;23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(G);MLS
GMGC10.007_657_999.ERMA;ResFinder;80.44;erm(G);MLS
GMGC10.007_669_314.TETA;ARG-ANNOT;94.92;(Tet)tetA;cycline
GMGC10.007_669_314.TETA;CARD;94.88;TetA is a tetracycline efflux pump found in many species of Gram-negative bacteria.;cycline
GMGC10.007_669_314.TETA;NCBI;100.0;tetracycline efflux MFS transporter Tet(A);cycline
GMGC10.007_669_314.TETA;ResFinder;94.92;tet(A);cycline
GMGC10.007_669_314.TETA;ResFinderFG;94.92;"Tetracycline resistance protein%2C class C""|JX009293.1|soil|OXY";cycline
GMGC10.007_681_315.TETA;ARG-ANNOT;100.0;(Tet)tetY;cycline
GMGC10.007_681_315.TETA;CARD;100.0;TetY is a tetracycline efflux pump found in Gram-negative bacteria (Aeromonas and Escherichia). It is associated with plasmid DNA.;cycline
GMGC10.007_681_315.TETA;NCBI;100.0;tetracycline efflux MFS transporter Tet(Y);cycline
GMGC10.007_681_315.TETA;ResFinder;100.0;tet(Y);cycline
GMGC10.007_772_606.EMRA;CARD;80.07;KpnG consists of ~390 residues and resembles EmrA of E. coli. Disruption of the pump components KpnG-KpnH signficantly decrease resistance to azithromycin ceftazidime ciprofloxacin ertapenem erythromycin gentamicin imipenem ticarcillin norfloxacin polymyxin-B piperacillin spectinomycin tobramycin and streptomycin;Multidrug_efflux
GMGC10.007_772_754.MRDA;ARG-ANNOT;80.37;(Bla)Penicillin_Binding_Protein_Ecoli;blactam_non_enz
GMGC10.007_784_882.CRP;CARD;88.78;emrE;Multidrug_efflux
GMGC10.007_784_903.RAMA;CARD;84.21;RamA (resistance antibiotic multiple) is a positive regulator of AcrAB-TolC and leads to high level multidrug resistance in Klebsiella pneumoniae Salmonella enterica and Enterobacter aerugenes increasing the expression of both the mar operon as well as AcrAB. RamA also decreases OmpF expression.;Multidrug_efflux
GMGC10.007_812_058.QSEC;CARD;90.91;basSpeptide;peptide
GMGC10.007_849_478.YEGN;CARD;81.23;MexW;Multidrug_efflux
GMGC10.007_849_493.ACRB;CARD;80.72;MexB is the inner membrane multidrug exporter of the efflux complex MexAB-OprM.;Multidrug_efflux
GMGC10.007_860_052.AMPC;ARG-ANNOT;99.83;(Bla)blaCMY-8;blactamase
GMGC10.007_860_052.AMPC;CARD;99.83;CMY-8 is a beta-lactamase found in Klebsiella pneumoniae;blactamase
GMGC10.007_860_052.AMPC;NCBI;99.83;CMY-1/MOX family class C extended-spectrum beta-lactamase CMY-8;blactamase
GMGC10.007_860_052.AMPC;ResFinder;99.83;blaCMY-8;blactamase
GMGC10.007_860_052.AMPC;ResFinderFG;82.34;"Beta-lactamase""|MG586034.1|antibiotics_polluted_stream_sediment|CTX";blactamase
GMGC10.007_907_344.MEXF;CARD;82.74;mexF;Multidrug_efflux
GMGC10.007_928_536.CRP;CARD;99.05;emrE;Multidrug_efflux
GMGC10.008_019_857.MEXF;CARD;86.09;mexF;Multidrug_efflux
GMGC10.008_038_500.PBP1A;ARG-ANNOT;80.06;(Bla)PBP1a;blactam_non_enz
GMGC10.008_186_086.RPOB;CARD;88.5;Bifidobacterium are antibiotic resistant probiotics are prescribed to upkeep the population beneficial bacteria in the gut microbiome. However horizontal gene transfer among gut microbes could create harmful antibiotic-resistant pathogenic bacteria such as Mycobacterium tuberculosis. Lokesh et al. analyzed Bifidobacterium antitubercular drug resistance and mutations in rpoB. They found that B. animalis B. longum and B. adolescentis showed considerable resistance to pyrazinamide isoniazid and streptomycin while B. adolescentis had mutations both in the rifampicin (RIF) pocket and in regions outside the pockets and also showed considerable resistance to RIF.;rifampicin
GMGC10.008_204_874.CRP;CARD;99.37;emrE;Multidrug_efflux
GMGC10.008_222_153.SCLAV_1890;CARD;98.51;lnuG is a transposon-mediated lincosamide nucleotidyltransferase found in Enterococcus faecalis on Tn6260.;MLS
GMGC10.008_222_153.SCLAV_1890;ResFinder;98.51;lnu(G);MLS
GMGC10.008_248_238.AMPH;ARG-ANNOT;81.83;(Bla)ampH;blactamase
GMGC10.008_248_544.EMRB;CARD;82.43;emrB is a translocase in the emrB -TolC efflux protein in E. coli. It recognizes substrates including carbonyl cyanide m-chlorophenylhydrazone (CCCP) nalidixic acid and thioloactomycin.;quinolone
GMGC10.008_251_331.MDTC;CARD;80.07;MdtC;Multidrug_efflux
GMGC10.008_293_759.LMRA;CARD;97.82;efrB is a part of the EfrAB efflux pump and both efrA and efrB are necessary to confer multidrug resistance.;Multidrug_efflux
GMGC10.008_323_280.UNKNOWN;CARD;100.0;AAC(6')-Ib8 is a plasmid-encoded aminoglycoside acetyltransferase in E. cloacae;aminoside
GMGC10.008_323_280.UNKNOWN;NCBI;100.0;AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase;aminoside
GMGC10.008_323_280.UNKNOWN;ResFinderFG;99.31;"Aminoglycoside N(6')-acetyltransferase type 1""|GQ342986.1|human fecal matter|AMK";aminoside
GMGC10.008_335_189.TETA;ARG-ANNOT;96.85;(Tet)tetG;cycline
GMGC10.008_335_189.TETA;CARD;93.2;TetG is a tetracycline efflux protein found in Gram-negative bacteria. The encoding gene is found in both chromosomal and plasmid DNA where it is frequently linked to the floR sul1 and cmlA9 genes which encode proteins that can confer florfenicol/chloramphenicol sulfamethoxazole and chloramphenicol resistance respectively.;cycline
GMGC10.008_335_189.TETA;NCBI;96.85;tetracycline efflux MFS transporter Tet(G);cycline
GMGC10.008_335_189.TETA;ResFinder;96.85;tet(G);cycline
GMGC10.008_335_189.TETA;ResFinderFG;96.85;"Tetracycline resistance protein%2C class C""|JX009290.1|soil|MIN";cycline
GMGC10.008_338_531.BAES;CARD;91.45;smeS is the protein kinase sensor component of a two component signal transduction system that includes smeR;Multidrug_efflux
GMGC10.008_338_532.EEFA;CARD;91.15;smeA is the membrane fusion protein of the smeABC multidrug efflux complex in Stenotrophomonas maltophilia;Multidrug_efflux
GMGC10.008_338_667.ACRA;CARD;97.22;smeD is the membrane fusion protein of the smeDEF multidrug efflux complex in Stenotrophomonas maltophilia;Multidrug_efflux
GMGC10.008_377_171.ILES;CARD;87.53;Bifidobacteria have an intrinsically resistant form of ileS (isoleucyl-tRNA synthetase) that confers resistance to mupirocin.;mupirocin
GMGC10.008_403_661.SMEB;CARD;94.41;smeB is the inner membrane multidrug exporter of the efflux complex smeABC in Stenotrophomonas maltophilia;Multidrug_efflux
GMGC10.008_426_515.CRP;CARD;98.89;emrE;Multidrug_efflux
GMGC10.008_465_355.MDTB;CARD;80.33;MdtB;Multidrug_efflux
GMGC10.008_466_831.CPXA;CARD;81.78;CpxA is a membrane-localized sensor kinase that is activated by envelope stress. It starts a kinase cascade that activates CpxR which promotes efflux complex expression.;aminoside
GMGC10.008_467_155.BAER;CARD;81.84;BaeR is a response regulator that promotes the expression of MdtABC and AcrD efflux complexes.;aminoside
GMGC10.008_508_088.ACRD;CARD;81.28;AcrD is an aminoglycoside efflux pump expressed in E. coli. Its expression can be induced by indole and is regulated by baeRS and cpxAR.;aminoside
GMGC10.008_508_364.CRP;CARD;88.78;emrE;Multidrug_efflux
GMGC10.008_554_385.PBP1B;ARG-ANNOT;94.97;(Bla)PBP1b;blactam_non_enz
GMGC10.008_640_023.MDTB;CARD;81.33;MdtB;Multidrug_efflux
GMGC10.008_697_088.QNR;ARG-ANNOT;97.05;(Flq)qnrB37;quinolone
GMGC10.008_697_088.QNR;CARD;99.53;QnrB69 is a plasmid-mediated quinolone resistance protein found in Citrobacter freundii;quinolone
GMGC10.008_697_088.QNR;NCBI;99.53;quinolone resistance pentapeptide repeat protein QnrB69;quinolone
GMGC10.008_697_088.QNR;ResFinder;99.53;qnrB69;quinolone
GMGC10.008_697_088.QNR;ResFinderFG;85.87;"Pentapeptide repeat protein""|KU548326.1|latrine|CIP";quinolone
GMGC10.008_697_339.AMPH;ARG-ANNOT;80.74;(Bla)ampH_Ecoli;blactamase
GMGC10.008_697_339.AMPH;CARD;80.74;AmpH is a class C ampC-like beta-lactamase and penicillin-binding protein identified in Escherichia coli.;blactamase
GMGC10.008_697_622.TOLC;CARD;81.92;TolC;Multidrug_efflux
GMGC10.008_697_674.EMRB;CARD;84.9;emrB is a translocase in the emrB -TolC efflux protein in E. coli. It recognizes substrates including carbonyl cyanide m-chlorophenylhydrazone (CCCP) nalidixic acid and thioloactomycin.;quinolone
GMGC10.008_716_199.FOSB;CARD;99.27;An enzyme that confers resistance to fosfomycin in Serratia marcescens by breaking the epoxide ring of the molecule. It depends on the cofactors Manganese (II) and Potassium and uses Glutathione (GSH) as the nucleophilic molecule. In Pseudomonas aeruginosa FosA catalyzes the conjugation of glutathione to carbon-1 of fosfomycin rendering it ineffective as an antibacterial drug.;fosfomycin
GMGC10.008_716_199.FOSB;NCBI;99.27;FosA family fosfomycin resistance glutathione transferase;fosfomycin
GMGC10.008_716_199.FOSB;ResFinder;99.27;fosA;fosfomycin
GMGC10.008_738_752.AACA7;ARG-ANNOT;97.72;(AGly)aac6-Iy;aminoside
GMGC10.008_738_752.AACA7;CARD;97.72;AAC(6')-Iy is a chromosomal-encoded aminoglycoside acetyltransferase in S. enteritidis and S. enterica. Regulatory mutation required to increase expression of this chromosomally-encoded gene for resistance. In the specific system aminoglycoside resistance was due to a transcriptional fusion secondary to a chromosomal deletion in which the downstream aac(6')-Iy gene was placed under the control of the upstream nmpC promoter.;aminoside
GMGC10.008_738_752.AACA7;ResFinder;97.26;aac(6')-Iaa;aminoside
GMGC10.008_741_437.FOLP;ARG-ANNOT;99.85;(Sul)sul1;Sulfonamide/trimethoprim
GMGC10.008_741_437.FOLP;CARD;99.85;Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.;Sulfonamide/trimethoprim
GMGC10.008_741_437.FOLP;NCBI;99.85;sulfonamide-resistant dihydropteroate synthase Sul1;Sulfonamide/trimethoprim
GMGC10.008_741_437.FOLP;ResFinderFG;99.85;"Dihydropteroate synthase""|MG585970.1|antibiotics_polluted_stream_sediment|SMZ";Sulfonamide/trimethoprim
GMGC10.008_744_908.ACRD;CARD;80.96;AcrD is an aminoglycoside efflux pump expressed in E. coli. Its expression can be induced by indole and is regulated by baeRS and cpxAR.;aminoside
GMGC10.008_753_367.SFLR;ARG-ANNOT;98.11;(Phe)floR;phenicol
GMGC10.008_753_367.SFLR;CARD;98.19;floR is a plasmid or chromosome-encoded chloramphenicol exporter that is found in Bordetella bronchiseptica Escherichia coli Klebsiella pneumoniae Salmonella enterica subsp. enterica serovar Typhimurium str. DT104 and Vibrio cholerae;phenicol
GMGC10.008_753_367.SFLR;NCBI;99.92;chloramphenicol/florfenicol efflux MFS transporter FloR;phenicol
GMGC10.008_753_367.SFLR;ResFinder;99.92;floR;phenicol
GMGC10.008_781_989.COPA;CARD;99.14;GolS is a regulator activated by the presence of golD and promotes the expression of the MdsABC efflux pump.;Multidrug_efflux
GMGC10.008_793_330.TOLC;CARD;83.07;TolC;Multidrug_efflux
GMGC10.008_794_781.YEEO;CARD;96.35;A multidrug and toxic compound extrusions (MATE) transporter conferring resistance to norfloxacin doxorubicin and acriflavine.;Multidrug_efflux
GMGC10.008_796_190.MRDA;ARG-ANNOT;82.55;(Bla)Penicillin_Binding_Protein_Ecoli;blactam_non_enz
GMGC10.008_797_377.YOJI;CARD;80.27;YojI mediates resistance to the peptide antibiotic microcin J25 when it is expressed from a multicopy vector. YojI is capable of pumping out microcin molecules.  The outer membrane protein TolC in addition to YojI is required for export of microcin J25 out of the cell. Microcin J25 is thus the first known substrate for YojI.;peptide
GMGC10.008_803_393.FOSB;ARG-ANNOT;93.85;(Fcyn)FosA7;fosfomycin
GMGC10.008_803_393.FOSB;CARD;93.85;fosA7 is an enzyme that confers resistance to fosfomycin in Escherichia coli by breaking the epoxide ring of the molecule.;fosfomycin
GMGC10.008_803_393.FOSB;NCBI;94.33;fosfomycin resistance glutathione transferase FosA7.2;fosfomycin
GMGC10.008_803_393.FOSB;ResFinder;93.85;fosA7;fosfomycin
GMGC10.008_804_982.CPXA;CARD;85.95;CpxA is a membrane-localized sensor kinase that is activated by envelope stress. It starts a kinase cascade that activates CpxR which promotes efflux complex expression.;aminoside
GMGC10.008_805_942.EMRB;CARD;84.21;emrB is a translocase in the emrB -TolC efflux protein in E. coli. It recognizes substrates including carbonyl cyanide m-chlorophenylhydrazone (CCCP) nalidixic acid and thioloactomycin.;quinolone
GMGC10.008_805_951.TOLC;CARD;82.34;TolC;Multidrug_efflux
GMGC10.008_806_204.MDTC;CARD;81.04;MdtC;Multidrug_efflux
GMGC10.008_806_786.OPRM;CARD;97.81;MdsC is the outer membrane channel of the multidrug and metal efflux complex MdsABC.;Multidrug_efflux
GMGC10.008_822_727.AADA;CARD;90.54;aadA22 is an aminoglycoside nucleotidyltransferase gene encoded by plasmids and integrons in S. enterica and E. coli;aminoside
GMGC10.008_822_727.AADA;NCBI;100.0;ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA6;aminoside
GMGC10.008_822_727.AADA;ResFinder;90.67;aadA1;aminoside
GMGC10.008_822_727.AADA;ResFinderFG;87.47;"Streptomycin 3''-adenylyltransferase""|KT387138.1|wastewater treatment plant|SPT";aminoside
GMGC10.008_832_248.HNS;CARD;86.72;H-NS is a histone-like protein involved in global gene regulation in Gram-negative bacteria. It is a repressor of the membrane fusion protein genes acrE mdtE and emrK as well as nearby genes of many RND-type multidrug exporters.;Multidrug_efflux
GMGC10.008_834_211.OPRM;CARD;98.49;MdsC is the outer membrane channel of the multidrug and metal efflux complex MdsABC.;Multidrug_efflux
GMGC10.008_834_997.KDPE;CARD;81.44;kdpE is a transcriptional activator that is part of the two-component system KdpD/KdpE that is studied for its regulatory role in potassium transport and has been identified as an adaptive regulator involved in the virulence and intracellular survival of pathogenic bacteria. kdpE regulates a range of virulence loci through direct promoter binding.;aminoside
GMGC10.008_869_607.AACA7;ARG-ANNOT;98.4;(AGly)aac6-Iy;aminoside
GMGC10.008_869_607.AACA7;CARD;98.4;AAC(6')-Iy is a chromosomal-encoded aminoglycoside acetyltransferase in S. enteritidis and S. enterica. Regulatory mutation required to increase expression of this chromosomally-encoded gene for resistance. In the specific system aminoglycoside resistance was due to a transcriptional fusion secondary to a chromosomal deletion in which the downstream aac(6')-Iy gene was placed under the control of the upstream nmpC promoter.;aminoside
GMGC10.008_869_607.AACA7;ResFinder;97.94;aac(6')-Iaa;aminoside
GMGC10.009_069_082.TOLC;CARD;82.83;TolC;Multidrug_efflux
GMGC10.009_084_140.LSA;ARG-ANNOT;91.55;(MLS)lsa(C);MLS
GMGC10.009_084_140.LSA;CARD;91.55;LsaC is an ABC-F subfamily protein expressed in Streptococcus agalactiae. It confers resistance to lincomycin clindamycin dalfopristin and tiamulin;MLS
GMGC10.009_084_140.LSA;NCBI;91.55;ABC-F type ribosomal protection protein Lsa(C);MLS
GMGC10.009_084_140.LSA;ResFinder;91.55;lsa(C);MLS
GMGC10.009_101_465.BAER;CARD;81.77;BaeR is a response regulator that promotes the expression of MdtABC and AcrD efflux complexes.;aminoside
GMGC10.009_101_802.ACRB;CARD;82.83;AcrB;Multidrug_efflux
GMGC10.009_105_560.AADA;ARG-ANNOT;100.0;(AGly)aadA24;aminoside
GMGC10.009_105_560.AADA;CARD;92.75;ANT(3'')-IIa is a aminoglycoside nucleotidyltransferase identified in Acinetobacter spp. via horizontal gene transfer mechanisms.;aminoside
GMGC10.009_105_560.AADA;ResFinder;100.0;aadA24;aminoside
GMGC10.009_105_560.AADA;ResFinderFG;93.97;"Streptomycin 3''-adenylyltransferase""|KT387138.1|wastewater treatment plant|SPT";aminoside
GMGC10.009_137_166.FTSI;ARG-ANNOT;98.92;(Bla)penA;blactamase
GMGC10.009_137_166.FTSI;ResFinder;96.79;penA;blactamase
GMGC10.009_138_267.PBP1A;ARG-ANNOT;89.5;(Bla)PBP1a;blactam_non_enz
GMGC10.009_138_591.PBP1A;ARG-ANNOT;91.99;(Bla)PBP1a;blactam_non_enz
GMGC10.009_198_237.ARNA;CARD;84.75;arnA modifies lipid A with 4-amino-4-deoxy-L-arabinose (Ara4N) which allows gram-negative bacteria to resist the antimicrobial activity of cationic antimicrobial peptides and antibiotics such as polymyxin. arnA is found in E. coli and P. aeruginosa.;peptide
GMGC10.009_198_736.MDTC;CARD;86.16;MuxC is one of the two necessary RND components of the MuxABC-OpmB efflux pumps system in Pseudomonas aeruginosa.;MLS
GMGC10.009_199_131.ACRA;CARD;83.86;MexA is the membrane fusion protein of the MexAB-OprM multidrug efflux complex.;Multidrug_efflux
GMGC10.009_199_132.ACRB;CARD;88.19;MexB is the inner membrane multidrug exporter of the efflux complex MexAB-OprM.;Multidrug_efflux
GMGC10.009_204_929.MEXF;CARD;83.28;mexF;Multidrug_efflux
GMGC10.009_213_753.MEXF;CARD;90.08;mexF;Multidrug_efflux
GMGC10.009_246_115.QNR;ARG-ANNOT;83.12;(Flq)qnrD;quinolone
GMGC10.009_246_115.QNR;CARD;83.12;QnrD1 is a plasmid-mediated quinolone resistance protein found in Salmonella enterica;quinolone
GMGC10.009_246_115.QNR;NCBI;83.12;quinolone resistance pentapeptide repeat protein QnrD1;quinolone
GMGC10.009_246_115.QNR;ResFinder;83.12;qnrD1;quinolone
GMGC10.009_311_672.AMPH;ARG-ANNOT;83.91;(Bla)ampH;blactamase
GMGC10.009_373_910.ACRB;CARD;81.02;MdtF is the multidrug inner membrane transporter for the MdtEF-TolC efflux complex.;Multidrug_efflux
GMGC10.009_374_175.CRP;CARD;98.58;emrE;Multidrug_efflux
GMGC10.009_403_675.CRP;CARD;99.05;emrE;Multidrug_efflux
GMGC10.009_407_365.BAIG;ARG-ANNOT;99.79;(Phe)fexA;phenicol
GMGC10.009_407_365.BAIG;CARD;99.72;fexA is a plasmid-encoded chloramphenicol exporter that is found in Staphylococcus lentus;phenicol
GMGC10.009_407_365.BAIG;NCBI;99.72;chloramphenicol/florfenicol efflux MFS transporter FexA;phenicol
GMGC10.009_407_365.BAIG;ResFinder;99.72;fexA;phenicol
GMGC10.009_407_882.LSA;ARG-ANNOT;92.15;(MLS)lsa(C);MLS
GMGC10.009_407_882.LSA;CARD;92.15;LsaC is an ABC-F subfamily protein expressed in Streptococcus agalactiae. It confers resistance to lincomycin clindamycin dalfopristin and tiamulin;MLS
GMGC10.009_407_882.LSA;NCBI;92.15;ABC-F type ribosomal protection protein Lsa(C);MLS
GMGC10.009_407_882.LSA;ResFinder;92.15;lsa(C);MLS
GMGC10.009_414_170.ACRA;CARD;83.75;AcrA is a subunit of the AcrAB-TolC multidrug efflux system that in E. coli.;Multidrug_efflux
GMGC10.009_416_411.EMRR;CARD;85.31;ErmR;Multidrug_efflux
GMGC10.009_420_785.RRMA;CARD;88.1;RlmA(II) is a methyltransferase found in Streptococcus pneumoniae and confers resistance to mycinamicin tylosin and lincosamides. Specifically this enzyme adds a methyl group to guanosine 748 (E. coli numbering) of 23S ribosomal RNA.;MLS
GMGC10.009_421_000.AACA7;ResFinderFG;99.3;"Aminoglycoside N(6')-acetyltransferase type 1""|GQ343186.1|human saliva|SIS";aminoside
GMGC10.009_463_594.RPOB;CARD;80.88;Due to gene duplication the genomes of NoCARDia species include both rifampin-sensitive beta-subunit of RNA polymerase (rpoB) and rifampin-resistant beta-subunit of RNA polymerase (rpoB2) genes with ~88% similarity between the two gene products. Expression of the rpoB2 variant results in replacement of rifampin sensitivity with rifampin resistance.;rifampicin
GMGC10.009_505_321.CRP;CARD;87.68;emrE;Multidrug_efflux
GMGC10.009_507_784.SCLAV_4187;ARG-ANNOT;97.33;(Bla)BlaA2;blactamase
GMGC10.009_514_150.YBXI;NCBI;94.2;class D beta-lactamase CDD-1;blactamase
GMGC10.009_541_667.EMRE;CARD;99.7;emrE;Multidrug_efflux
GMGC10.009_543_125.UPPP;CARD;98.05;The bacA gene product (BacA) recycles undecaprenyl pyrophosphate during cell wall biosynthesis which confers resistance to bacitracin.;peptide
GMGC10.009_567_362.CRP;CARD;89.1;emrE;Multidrug_efflux
GMGC10.009_647_359.UNKNOWN;ARG-ANNOT;98.77;(MLS)msr(A);MLS
GMGC10.009_647_359.UNKNOWN;CARD;98.5;MsrA is an ABC-F subfamily ribosomal protection protein expressed in Staphylococcus species which confers resistance to erythromycin and streptogramin B antibiotics through antibiotic target protection mechanisms. It is associated with plasmid DNA.;MLS
GMGC10.009_647_359.UNKNOWN;NCBI;99.52;ABC-F type ribosomal protection protein Msr(A);MLS
GMGC10.009_647_359.UNKNOWN;ResFinder;99.52;msr(A);MLS
GMGC10.009_658_976.DDL;ResFinderFG;87.5;"D-alanine--D-alanine ligase""|KF627171.1|pediatric_fecal_sample|CYC";Glycopeptide/Cycloserine
GMGC10.009_704_406.AADA;ARG-ANNOT;94.1;(AGly)spc;aminoside
GMGC10.009_704_406.AADA;ResFinder;94.1;ant(9)-Ia;aminoside
GMGC10.009_726_961.VANS;NCBI;100.0;VanA-type vancomycin resistance histidine kinase VanS;Glycopeptide/Cycloserine
GMGC10.009_742_634.CRP;CARD;99.53;emrE;Multidrug_efflux
GMGC10.009_778_107.LSA;ARG-ANNOT;80.37;(MLS)lsa(C);MLS
GMGC10.009_778_107.LSA;CARD;80.37;LsaC is an ABC-F subfamily protein expressed in Streptococcus agalactiae. It confers resistance to lincomycin clindamycin dalfopristin and tiamulin;MLS
GMGC10.009_778_107.LSA;NCBI;80.37;ABC-F type ribosomal protection protein Lsa(C);MLS
GMGC10.009_778_107.LSA;ResFinder;80.37;lsa(C);MLS
GMGC10.009_806_710.UNKNOWN;ARG-ANNOT;91.25;(MLS)msr(D);MLS
GMGC10.009_806_710.UNKNOWN;NCBI;91.47;ABC-F type ribosomal protection protein Msr(D);MLS
GMGC10.009_806_710.UNKNOWN;ResFinder;91.47;msr(D);MLS
GMGC10.009_896_707.DDL;ResFinderFG;81.42;"D-alanine--D-alanine ligase B""|KF629405.1|pediatric_fecal_sample|CYC";Glycopeptide/Cycloserine
GMGC10.009_908_301.EMRB;CARD;82.16;KpnH consists of ~511 residues resembles EmrB of E. coli and is probably a translocase in the KpnGH-TolC efflux protein in K. pneumoniae. Disruption of the pump components KpnG-KpnH signficantly decrease resistance to azithromycin ceftazidime ciprofloxacin ertapenem erythromycin gentamicin imipenem ticarcillin norfloxacin polymyxin-B piperacillin spectinomycin tobramycin and streptomycin.;Multidrug_efflux
GMGC10.009_961_815.EMRE;CARD;98.8;EmrE is a small multidrug transporter that functions as a homodimer and that couples the efflux of small polyaromatic cations from the cell with the import of protons down an electrochemical gradient. Confers resistance to tetraphenylphosphonium methyl viologen gentamicin kanamycin and neomycin.;aminoside
GMGC10.010_000_812.OPRN;CARD;99.32;opmE is an outer membrane factor protein that is part of the multidrug efflux pump MexPQ-OpmE.;Multidrug_efflux
GMGC10.010_016_470.CRP;CARD;86.89;emrE;Multidrug_efflux
GMGC10.010_016_539.ACRB;CARD;84.96;AcrB;Multidrug_efflux
GMGC10.010_027_392.BLAR;ARG-ANNOT;92.61;(Bla)blaR1_Bacilli;blactamase
GMGC10.010_027_392.BLAR;NCBI;92.61;beta-lactam sensor/signal transducer BlaR1;blactamase
GMGC10.010_039_310.TETP;ARG-ANNOT;91.87;(Tet)tetT;cycline
GMGC10.010_039_310.TETP;CARD;91.87;Tet(T) is a ribosomal protection protein of streptococci. It is similar to Tet(Q).;cycline
GMGC10.010_039_310.TETP;NCBI;91.87;tetracycline resistance ribosomal protection protein Tet(T);cycline
GMGC10.010_039_310.TETP;ResFinder;91.87;tet(T);cycline
GMGC10.010_055_999.AADK;ARG-ANNOT;99.53;(AGly)str;aminoside
GMGC10.010_055_999.AADK;NCBI;99.88;streptomycin adenylyltransferase Str;aminoside
GMGC10.010_055_999.AADK;ResFinder;99.88;str;streptothricin
GMGC10.010_079_731.ILES;CARD;85.68;Bifidobacteria have an intrinsically resistant form of ileS (isoleucyl-tRNA synthetase) that confers resistance to mupirocin.;mupirocin
